"Time","Outer Diameter","Inner Diameter","Temperature (oC)","Pressure 1 (mmHg)","Pressure 2 (mmHg)","Avg Pressure (mmHg)","Caliper length"
"23.966000080108643","202.55555555555554","157.66666666666666","nan","nan","nan","nan","195.0"
"24.16600012779236","202.55555555555554","157.77777777777777","nan","nan","nan","nan","195.0"
"24.43499994277954","202.44444444444446","157.66666666666666","nan","nan","nan","nan","195.0"
"24.697999954223633","200.875","156.625","nan","nan","nan","nan","195.0"
"24.967000007629395","201.25","156.375","nan","nan","nan","nan","195.0"
"25.236999988555908","202.33333333333334","157.77777777777777","nan","nan","nan","nan","195.0"
"25.467999935150146","202.33333333333334","157.77777777777777","nan","nan","nan","nan","195.0"
"25.73800015449524","202.55555555555554","157.44444444444446","nan","nan","nan","nan","195.0"
"26.000999927520752","202.55555555555554","157.44444444444446","nan","nan","nan","nan","195.0"
"26.269999980926514","202.33333333333334","157.55555555555554","nan","nan","nan","nan","195.0"
